Locality;Human remains;Faunal remains;Stone tools;Organic tools;Symbolic Artifacts;Fire evidence;Summary;x;y;x_ingame;y_ingame
Adrar Bous;0;0;6;0;0;0;Adrar Bous is a massif in the Air Mountains on the western edge of the Ténéré Dessert, Niger. 1970 an expedition was undertaken to conduct geological and archaeological surveys, surface collections and limited test excavations. The finds are coming from the late Acheulean up to the Neolithic.;9;20;388.96103896104;744.15584415584
Ain Boucherit;0;0;1;0;0;0;Ain Boucherit is located in the Ain Hanech research area in NE Algeria. The archeological strata belong to the Ain Hanech Formation. The lithic artifacts and associated fossil bones come from two distinct strata: AB-LW and AB-Up. Some bones bearing cut marks.;6;36;346.14155844156;950.70779220779
Ain Fritissa;0;0;2;0;0;0;Ain Frissa is located on the right bank of the Moulonya river, 96 km south of the city of Guercif in a pre-Saharan plateau landscape. The unstratified lithic assemblages show an occupation during the Acheulean and the Aterian. Occupations during the Acheulean and the Aterian are documented by unstratified lithic assemblages.;-4;34;226.60998701299;917.12062337662
Ain Hanech;0;1;3;0;0;0;Ain Hanech is located in the high plateau of northeastern Algeria. It documents the spread of hominids to northern Africa by at least 1.7-1.8 Ma ago an represents the earliest know archaeological evidence in this part of Africa. The site yielded an Early Pleistocene fauna assocciated with Mode I technology artifacts. The artifacts are similar to those recovered from East African Plio-Pleistocene sites like Olduvai Bed I and Lower Bed II and Koobi Foora.;6;36;346.16753246753;950.71818181818
Arkin (2);0;0;2;0;0;0;Arkin 5 is a mining and workshop site where cores or tools were first shaped before being transported elsewhere. At Arkin 5 only 1.58 per cent of the collection were tools, the rest were debitage or cores. The sites do not yet have good dates.;31;22;680.08658051948;763.41991298701
Barogali;0;1;1;0;0;0;Barogali is located in Gobaad, in the west of the Republic of Djibouti, a few kilometers from the Ethiopian border Lake Abhé. Excavations between 1985 and 1987 led to the discovery of an Elephas recki. Lithic artifacts discovered among the bones indicates that this is a butchery site where hominids cut up and perhaps consumed the elephant meat.;42;11;819.44935064935;624.56381688312
Buia;6;1;7;0;0;0;Buia is a site complex surveyed in the Dandiero Basin of the Danakil Depression. More than 200 sites containing lithic artifacts referred to the Acheulean, and faunal remains have been surveyed. Seven of them have been carried out by the authors Martini et al. 2004, especially the complex with the human remains (UAHS area 1) of Homo erectus.;40;15;790.21421298701;673.81706363636
Canteen Kopje;0;0;7;0;0;0;Canteen Kopje is located 1.3 km Southeast of the town of Barkly West (Western Cape Province), situated at the north bank of the Vaal River. It is famous for its prolific Acheulean artifacts, especially hand axes and the enigmatic prepared core and Levallois-like technology known as Victoria West. Here we present only information about the systematic excavations since the late 1990s.;25;-29;591.33074025974;109.83951948052
Cape Hangklip;0;0;1;0;0;0;Cape Hangklip is a large complex open-air coastal Acheulian site on the narrow coastal plain of the SE entrance of False Bay in the SW cape. The site is undated but considered to be broadly contemporary with Elandsfontein and Montague cave.;19;-34;517.27272727273;34.103896103896
Cave of Hearths;3;0;3;0;0;3;Mason excavated this well-known cave site in 30 cm spits in 1953-54, but his published accounts are somewhat contradictory and incomplete. The thick sequence contains 11 archaeological horizons with artifacts from the Acheulean, MSA (Pietersburg), LSA (Smithfield) and Iron Age. The site is most famous for its human remains from the Acheulean levels attributed to H. rhodesiensis or possibly erectus, as well as its long MSA sequence.;29;-24;651.94131168831;167.00050649351
Chekheyti Issie 3;0;0;1;0;0;0;Chekheyti Issie 3 is one of four Chekheyti Issi localities near the hill of Anabo Koma and belongs to the area of the Gobaad Basin. During a surface collection, hundreds of hippopotamus elements associated with stone tools were collected. The site is so far undated. But the lithic assemblage, on a first inspection, can be attributed to the Oldowan.;42;11;821.96922857143;623.99873766234
Chesowanja;3;0;3;0;0;0;Chesowanja is located about 15 km east of Lake Baringo and consists of a long stratigraphic sequence of volcanic and sedimentary rocks which are faulted and eroded. In addition to human remains indicative of Australopithecus boisei and rich paleontological finds, lithic assemblages of Oldowan, Acheulean and unnamed later industries are present.;36;1;742.93506493506;488.97402597403
Chilga Kernet;0;0;1;0;0;0;Chilga Kernet is located west of Gondar and in 2002 investigation in the site began with surface sample collection and three test trenches. Biface morphology suggest an Early-Later Acheulian.;36;13;741.88971818182;643.2768038961
Coopers Cave D;7;2;0;0;0;0;Coopers Cave is a series of fossil-bearing cavities of the Cradle of Humankind World Heritage Site, located approx. 40 km NW of Johannesburg. It yielded a diverse fauna and hominin fossil assemblage. New excavations in one of them, Coopers Cave D, have yielded a small amount of stone artifacts. The Coopers Cave D lithic assemblage contains 49 pieces and comes from the eastern area of the site. So far, it remains unclear from which stratigraphic position the assemblages originates from, therefor the lithic assemblage is not yet entered into ROAD.;28;-26;633.05735974026;142.68650779221
Cornelia Beds;1;1;1;0;0;0;Cornelia Beds is located 115 km south of Johannesburg NE of the town of Cornelia in the eastern Free State of South Africa. It is the type locality of the Cornelian Land Mammal Age of Southern Africa and has also produced Acheulean artifacts. A molar of early Homo dates to around 1.0 Ma.;29;-27;647.76863636364;127.7872987013
Doornlaagte;0;0;1;0;0;0;Doornlaagte is located 42 km west of Kimberley. Quarry activities brought into light the presence of artifacts in geological context, but they also destroyed much of the site. In 1963 Mason, Fock and Deacon and Deacon excavated here for one month and uncovered an Acheulean living site with about 1920 artifacts, including handaxes, cleavers and heavy duty tools.;24;-29;588.96103896104;107.57575714286
Drimolen;79;1;0;1;0;0;Drimolen is located 7 km noth of the Sterkfontain Valley caves in the Gauteng region and has been discovered in 1992. The 79 hominid specimens found at the site confirm that Paranthropus robustus was contemporaneous with early Homo in South Africa during the Plio-Pleitocene. The site yielded also faunal remains and some possible bone tools. Lithic artifacts were absent.;28;-26;633.19264025974;143.26118311688
El Kherba;0;1;3;0;0;0;El Kherba is located in the high plateau of northeastern Algeria, about 350 m south of the clasic site of Ain Hanech. It is situated in the Ain Hanech Formation. Three archeological layers yielded lithic assemblages designated to the Oldowan. They were associated with faunal remains.;6;36;346.16883116883;950.71298701299
Errayah;0;0;2;0;0;0;Errayah is located in the superficial formations of the Sidi-Ali region, about 2 km northwest of the Daira of Sidi-Ali. The Acheulean site has been discovered in 1996, and it contains two archeological layers with rich lithic components with a technological development from the ancient Acheulian to a final Acheulian.;0;36;278.18181818182;949.35064935065
Gadeb;0;1;8;0;0;0;Several open-air archaeological sites on the plain of Gadeb were studied by Clark. The valley now appears flooded by a dam, so the sites are no longer accessible. A well dated Plio-Pleistocene lake sequence is overlain by a series of alluvial deposits. Best known are localities 2 and 8 at Gadeb with their alternating Developed Oldowan and Acheulean industries dated from about 1.5 Ma to 700 ka accompanied by broken animal bones. MSA artifacts are present in the upper sequence with age estimates around 100 ka.;39;7;783.55844155844;572.85714285714
